community_num,community,population,tracts,broad_walk_min,museum_walk_min,broad_within_1mi,museum_within_1mi,poverty_rate,no_vehicle_rate,black_share,hispanic_share,median_income
1,Rogers Park,49628.0,11,10.40631187475546,17.60976983145872,0.9154106552752479,0.586564036431047,0.18325759901702893,0.3539450632266528,0.23496816313371482,0.24159748529056177,64218.399512372045
2,West Ridge,78373.0,14,25.219158159890615,26.056319653135652,0.2167583223814324,0.2167583223814324,0.19364538030588097,0.14835990198166155,0.12292498692151634,0.2057979150983119,71553.99427098618
3,Uptown,51647.0,11,8.355918445954696,11.343986362937356,1.0,1.0,0.1974389449475469,0.4245772573194497,0.20589772881290297,0.14672681859546538,72312.01279842004
4,Lincoln Square,41651.0,11,10.15311659591081,12.690425953309077,1.0,1.0,0.09300075681841577,0.21994506446977644,0.04244796043312286,0.1777868478547934,91671.72485654606
5,North Center,36014.0,14,10.495973777176607,24.97310081445894,1.0,0.3713278169600711,0.05077954802793463,0.1171526362835722,0.024573776864552675,0.11848170156050425,148188.35924918088
6,Lake View,102827.0,34,11.64616811196974,20.009971077422204,1.0,0.4870024409931244,0.08265430788637232,0.3704369199117057,0.04697209876783335,0.10249253600707985,120923.3922024371
7,Lincoln Park,67987.0,20,7.056864282746842,9.289243646012718,0.9442981746510363,0.9442981746510363,0.08519382277546274,0.29770748122301505,0.027608219218379984,0.07923573624369365,158657.5288216865
8,Near North Side,103830.0,19,4.502392512892971,6.594831852428174,1.0,1.0,0.09767880800854711,0.4717745586829244,0.08315515746893962,0.08355966483675238,123117.46766830396
9,Edison Park,11558.0,3,37.24705065302905,37.24705065302905,0.0,0.0,0.08127103437191303,0.0558930862956368,0.0060564111437965045,0.1491607544557882,130037.08980792525
10,Norwood Park,39530.0,7,15.720416064784258,15.720416064784258,0.7646850493296231,0.7646850493296231,0.05666107837429243,0.06859762232121046,0.009663546673412599,0.18011636731596256,110250.19261320516
11,Jefferson Park,26649.0,6,15.522056798862497,23.57055616477028,0.7973282299523434,0.3265413336335322,0.05634473310000143,0.10237102826984448,0.029607114713497692,0.2692408720777515,96865.33603512327
12,Forest Glen,19901.0,4,24.203502857757297,24.979187337443555,0.5535902718456359,0.5535902718456359,0.04824306312017716,0.04908470885683931,0.014622380784885182,0.10778352846590623,138666.050851716
13,North Park,18356.0,4,10.815622245166878,10.815622245166878,1.0,1.0,0.17179702154347826,0.1927271740656029,0.056548267596426234,0.16474177380692961,69083.28459359337
14,Albany Park,45538.0,11,12.614464929385809,14.265118641919038,0.9251833633448988,0.7730906056480302,0.11973274994219266,0.17830187334746553,0.03897843559225262,0.42975097720585004,86836.74214941368
15,Portage Park,63031.0,14,15.768708748459504,19.708625073311513,0.6622931573352795,0.5158096809506433,0.10870639954668229,0.11456262145547293,0.027272294585204106,0.4089892275229649,92019.07140930653
16,Irving Park,53332.0,15,10.558203189546,19.771402807549904,0.8857533938348459,0.4974499362484062,0.10759927224156211,0.14061304677636677,0.04213230330758269,0.37384684617115427,94018.47074926873
17,Dunning,41233.0,11,50.88574521903751,51.59582570050552,0.0,0.0,0.09172980343295578,0.06650008101504906,0.031358377998205324,0.36703611185215723,87863.2120631533
18,Montclare,14280.0,2,61.65674150359437,62.249275030852466,0.0,0.0,0.14599874794141332,0.09453991145699824,0.07380952380952381,0.6074929971988795,74032.47338935574
